aula,resolucion,situacion,coleccion,codigo,asignatura,programa,notas_existentes,con_nota,de_systemactiva,editadas_a_mano,acta_cerrada,conflicto_con_oferta
499,OK,NUEVA,BBA CVC ES,MAR 240,Marketing,Bachelor of Science in Business Administration,624,510,617,2,0,
500,OK,NUEVA,MBA EOBS ES,MBA 605,Financial Decision-Making,Master of Business Administration,133,88,130,2,0,
501,OK,NUEVA,BBA CVC ES,ECT 103,Ethics and Critical Thinking,Bachelor of Science in Business Administration,363,308,351,3,1,
502,OK,NUEVA,MBA EOBS ES,MBA 606,Human Resources Management,Master of Business Administration,134,90,133,0,0,
503,OK,NUEVA,BBA CVC ES,MIC 108,Microeconomics,Bachelor of Science in Business Administration,37,33,36,1,0,
504,OK,NUEVA,BBA CVC ES,STA 104,Statistical Methods,Bachelor of Science in Business Administration,30,25,30,0,0,
505,OK,NUEVA,MBA EOBS ES,MBA 608,Entrepreneurial Leadership,Master of Business Administration,132,94,132,0,0,
506,OK,NUEVA,BBA CVC ES,ALG 105,College Algebra I,Bachelor of Science in Business Administration,31,28,30,0,0,
507,OK,NUEVA,BBA CVC ES,COM 102,Interpersonal Communication,Bachelor of Science in Business Administration,31,26,30,1,0,
508,OK,NUEVA,BBA CVC ES,ACC 210,Principles of Managerial Accounting,Bachelor of Science in Business Administration,32,24,32,0,0,
509,OK,NUEVA,BBA CVC ES,CIS 109,Computer Science I,Bachelor of Science in Business Administration,30,27,30,0,0,
510,OK,NUEVA,BBA CVC ES,CBU 200,Calculus for Business,Bachelor of Science in Business Administration,20,15,20,0,0,
511,OK,NUEVA,BBA CVC ES,MAC 201,Macroeconomics,Bachelor of Science in Business Administration,20,18,20,0,0,
512,OK,NUEVA,BBA CVC ES,CIS 320,Computer Science II,Bachelor of Science in Business Administration,21,19,21,0,0,
513,OK,NUEVA,,FIN 260,Principles of Financial Accounting,Bachelor of Science in Business Administration,20,16,20,0,0,
514,OK,NUEVA,BBA CVC ES,BUS 290,Management of Organizations,Bachelor of Science in Business Administration,20,19,20,0,0,
515,OK,NUEVA,BBA CVC ES,COM 450,Business and Professional Communication,Bachelor of Science in Business Administration,347,266,340,7,0,
516,OK,NUEVA,BBA CVC ES,FIN 320,Financial Mathematics,Bachelor of Science in Business Administration,20,16,20,0,0,
517,OK,NUEVA,BBA CVC ES,HRM 280,Human Resource Management,Bachelor of Science in Business Administration,20,18,20,0,0,
518,OK,NUEVA,BBA CVC ES,MAR 330,Sales Management,Bachelor of Science in Business Administration,599,527,591,2,0,
519,OK,NUEVA,BBA CVC ES,MIS 470,Management Information System,Bachelor of Science in Business Administration,589,486,589,0,0,
520,OK,NUEVA,BBA CVC ES,MAN 370,Supply Chain Management,Bachelor of Science in Business Administration,343,303,333,3,1,
521,OK,NUEVA,BBA CVC ES,BUS 350,Public Administration,Bachelor of Science in Business Administration,350,222,344,1,0,
522,OK,NUEVA,BBA CVC ES,BLA 230,Business Law,Bachelor of Science in Business Administration,16,8,16,0,0,
523,OK,NUEVA,BBA CVC ES,ENG 440,Professional Writing in Business,Bachelor of Science in Business Administration,339,217,335,0,0,
524,OK,NUEVA,BBA CVC ES,STA 460,Advanced Statistics,Bachelor of Science in Business Administration,348,254,340,0,0,
525,OK,NUEVA,BBA CVC ES,FIN 220,Finance,Bachelor of Science in Business Administration,16,12,15,1,1,
527,OK,NUEVA,BBA CVC ES,ACC 300,Accounting for Decision Makers,Bachelor of Science in Business Administration,16,10,16,0,0,
528,OK,NUEVA,BBA CVC ES,BUS 250,Introduction to International Business,Bachelor of Science in Business Administration,16,10,16,0,0,
529,OK,NUEVA,BBA CVC ES,BUS 340,E-Business,Bachelor of Science in Business Administration,585,419,585,0,0,
530,OK,NUEVA,BBA CVC ES,PMB 270,Project Management,Bachelor of Science in Business Administration,589,505,474,113,0,
531,OK,NUEVA,BBA CVC ES,MAR 420,International Marketing,Bachelor of Science in Business Administration,350,330,336,2,4,
532,OK,NUEVA,BBA CVC ES,FIN 390,Financial Planning,Bachelor of Science in Business Administration,12,7,12,0,0,
533,OK,NUEVA,BBA CVC ES,BUS 400,Organizational Behavior,Bachelor of Science in Business Administration,12,10,12,0,0,
534,OK,NUEVA,BBA CVC ES,BUS 430,Emerging Technologies,Bachelor of Science in Business Administration,346,274,268,34,0,
535,OK,NUEVA,BBA CVC ES,LED 380,Business Leadership,Bachelor of Science in Business Administration,0,0,0,0,0,
536,OK,NUEVA,BBA CVC ES,BUS 410,Strategic Administration,Bachelor of Science in Business Administration,594,486,589,0,0,
537,OK,NUEVA,BBA CVC ES,CAP 480,Capstone Project,Bachelor of Science in Business Administration,334,130,334,0,0,
538,OK,NUEVA,DCEU CMG,103,Balanced Scorecard,Management Control,1,0,1,0,0,
539,OK,NUEVA,DCEU CMG,102,Management Control,Management Control,1,0,1,0,0,
546,OK,NUEVA,DCEA NCD EN,101,Comprehensive Management of Arterial Hypertension,Nursing in Cardiology,7,6,2,5,5,
547,OK,NUEVA,DCEA MHP EN,101,Psychopathological Alterations in Patients,Mental Health and Psychiatry,2,0,2,0,0,
548,OK,NUEVA,DCEA NCD EN,102,Nursing in Coronary Artery Disease Management,Nursing in Cardiology,7,5,3,4,1,
549,OK,NUEVA,DCEA NCD EN,103,Nursing in Heart Failure Management,Nursing in Cardiology,7,3,5,2,0,
550,OK,NUEVA,DCEA NCD EN,104,Prevention and Control of Cardiovascular Risk Factors,Nursing in Cardiology,7,2,6,1,1,
552,OK,NUEVA,DCEA MHP EN,102,Mental Disorders: Care Plans,Mental Health and Psychiatry,2,0,2,0,0,
553,OK,NUEVA,DCEA MHP EN,103,Psychiatric Treatments,Mental Health and Psychiatry,2,0,2,0,0,
554,OK,NUEVA,DCEA MHP EN,104,Psychiatric Emergencies,Mental Health and Psychiatry,2,0,2,0,0,
561,OK,NUEVA,DCEA SMK,103,Strategic Marketing Plan,Strategic Marketing,1,0,1,0,0,
562,OK,NUEVA,DCEA SMK,101,Branding,Strategic Marketing,1,0,1,0,0,
563,OK,NUEVA,DCEA SMK,104,Consumer Behavior,Strategic Marketing,1,0,1,0,0,
564,OK,NUEVA,DCEA SMK,102,Integrated Marketing Communication,Strategic Marketing,1,0,1,0,0,
565,OK,NUEVA,DCEU EXC,101,Tools and Competencies of Coaching,Executive Coaching,14,1,14,0,0,
566,OK,NUEVA,DCEU EXC,102,Introduction to Coaching,Executive Coaching,14,1,14,0,0,
567,OK,NUEVA,DCEU EXC,103,Motivational Systems SDI,Executive Coaching,14,1,14,0,0,
570,OK,NUEVA,MBA BEBS EN,MBA 504,Leadership and Organizational Behavior,Master of Business Administration,134,110,130,1,1,
571,OK,NUEVA,MBA BEBS EN,MBA 502,Accounting for Decision-Making and Control,Master of Business Administration,131,103,128,0,1,
572,OK,NUEVA,MBA BEBS EN,MBA 607,Advanced Project Management,Master of Business Administration,133,88,132,0,0,
573,OK,NUEVA,MBA BEBS EN,MBA 503,Marketing for Executives,Master of Business Administration,132,108,130,0,2,
574,OK,NUEVA,MBA BEBS EN,MBA 700,Business Administration Capstone,Master of Business Administration,135,70,135,0,0,
575,OK,ya importaba,MCJS Full ES,CJS 500,Modern Trends in Criminal Justice,Master of Science in Criminal Justice,15,9,13,1,0,
576,OK,ya importaba,MCJS Full ES,CJS 501,Criminological Perspectives,Master of Science in Criminal Justice,15,10,9,5,4,
577,OK,ya importaba,MCJS Full ES,CJS 502,Law Enforcement and Society,Master of Science in Criminal Justice,15,5,12,2,0,
578,OK,ya importaba,MCJS Full ES,CJS 503,Legal and Criminal Prosecution,Master of Science in Criminal Justice,15,4,13,1,0,
579,OK,ya importaba,MCJS Full ES,CJS 504,Correctional Management,Master of Science in Criminal Justice,15,5,13,1,0,
580,OK,ya importaba,MCJS Full ES,CJS 600,Juvenile Justice,Master of Science in Criminal Justice,15,4,13,1,0,
581,OK,ya importaba,MERE Full ES,ERE 500,Photovoltaic Solar Energy Technologies,Master of Science in Renewable Energy and Sustainability Systems,15,13,15,0,0,
582,OK,ya importaba,MCJS Full ES,CJS 601,Technology and Criminal Justice,Master of Science in Criminal Justice,15,7,13,1,0,
583,OK,ya importaba,MCJS Full ES,CJS 602,Comparative Criminal Policy,Master of Science in Criminal Justice,15,7,13,1,0,
584,OK,ya importaba,MCJS Full ES,CJS 603,Victimology,Master of Science in Criminal Justice,15,8,11,3,1,
585,OK,ya importaba,MCJS Full ES,CJS 604,Ethics in Criminal Justice,Master of Science in Criminal Justice,15,9,12,2,0,
586,OK,ya importaba,MCJS Full ES,CJS 605,Applied Research in Criminal Justice,Master of Science in Criminal Justice,15,9,13,1,0,
587,OK,NUEVA,MCJS Full ES,CJS 700,Capstone Project in Criminal Justice,Master of Science in Criminal Justice,15,4,13,1,0,
589,OK,ya importaba,MERE Full ES,ERE 501,Wind Energy Systems,Master of Science in Renewable Energy and Sustainability Systems,15,11,9,6,4,
590,OK,ya importaba,MERE Full ES,ERE 502,Energy Storage,Master of Science in Renewable Energy and Sustainability Systems,15,9,13,2,0,
591,OK,ya importaba,MERE Full ES,ERE 503,Energy Efficiency Optimization,Master of Science in Renewable Energy and Sustainability Systems,3,3,0,0,0,
592,OK,ya importaba,MERE Full ES,ERE 504,Energy Policies and Sustainability,Master of Science in Renewable Energy and Sustainability Systems,15,8,15,0,0,
593,OK,ya importaba,MERE Full ES,ERE 600,Energy Economics and Markets,Master of Science in Renewable Energy and Sustainability Systems,15,9,15,0,0,
594,OK,ya importaba,MERE Full ES,ERE 601,Biomass and Sustainable Bioenergy,Master of Science in Renewable Energy and Sustainability Systems,15,11,15,0,0,
595,OK,ya importaba,MERE Full ES,ERE 602,Exploration of Geothermal Energy,Master of Science in Renewable Energy and Sustainability Systems,15,13,15,0,0,
596,OK,ya importaba,MERE Full ES,ERE 603,Renewable Energy Grid Integration,Master of Science in Renewable Energy and Sustainability Systems,15,13,14,1,1,
597,OK,ya importaba,MERE Full ES,ERE 604,Renewable Energy Projects,Master of Science in Renewable Energy and Sustainability Systems,15,15,15,0,0,
598,OK,ya importaba,MERE Full ES,ERE 605,Innovation in Renewable Energy,Master of Science in Renewable Energy and Sustainability Systems,15,15,15,0,0,
599,OK,NUEVA,MERE Full ES,ERE 700,Capstone Project,Master of Science in Renewable Energy and Sustainability Systems,15,6,15,0,0,
600,OK,NUEVA,MCYS Full ES,CYS 700,Capstone Project in Cybersecurity,Master of Science in Cybersecurity,20,0,20,0,0,
601,OK,ya importaba,MCYS Full ES,CYS 605,Secure Application Development,Master of Science in Cybersecurity,20,17,20,0,0,
602,OK,ya importaba,MCYS Full ES,CYS 604,Threat Intelligence,Master of Science in Cybersecurity,20,16,20,0,0,
603,OK,ya importaba,MCYS Full ES,CYS 603,Ethical Hacking and Penetration,Master of Science in Cybersecurity,20,14,20,0,0,
604,OK,ya importaba,MCYS Full ES,CYS 602,Mobile Device Security,Master of Science in Cybersecurity,20,13,20,0,0,
605,OK,ya importaba,MCYS Full ES,CYS 601,Cloud Security,Master of Science in Cybersecurity,20,11,20,0,0,
606,OK,ya importaba,MCYS Full ES,CYS 600,Ethics and Legislation in Cybersecurity,Master of Science in Cybersecurity,20,9,20,0,0,
607,OK,ya importaba,MCYS Full ES,CYS 504,Cybersecurity Risk Management,Master of Science in Cybersecurity,20,9,20,0,0,
608,OK,ya importaba,MCYS Full ES,CYS 503,Network Security,Master of Science in Cybersecurity,20,5,20,0,0,
609,OK,ya importaba,MCYS Full ES,CYS 502,Digital Forensic Analysis,Master of Science in Cybersecurity,20,12,12,8,0,
610,OK,ya importaba,MCYS Full ES,CYS 501,Cryptography and its Applications,Master of Science in Cybersecurity,20,15,7,13,8,
611,OK,ya importaba,MCYS Full ES,CYS 500,Computer and Cybersecurity,Master of Science in Cybersecurity,20,18,17,3,2,
612,OK,NUEVA,MPRO Full ES,PRO 700,Capstone in Project Management,Master of Science in Project Management,14,1,13,0,0,
613,OK,ya importaba,MPRO Full ES,PRO 603,Innovation and Project Development,Master of Science in Project Management,12,10,11,0,0,
614,OK,ya importaba,MPRO Full ES,PRO 604,Project Evaluation and Metrics,Master of Science in Project Management,12,10,11,0,0,
615,OK,ya importaba,MPRO Full ES,PRO 602,Ethics and Social Responsibility in Projects,Master of Science in Project Management,12,8,11,0,0,
616,OK,ya importaba,MPRO Full ES,PRO 600,Information Technologies in Project Management,Master of Science in Project Management,12,10,11,0,0,
617,OK,ya importaba,MPRO Full ES,PRO 504,Human Resources Management in Projects,Master of Science in Project Management,12,8,11,0,0,
618,OK,ya importaba,MPRO Full ES,PRO 503,Finance for Project Managers,Master of Science in Project Management,12,7,11,0,0,
619,OK,ya importaba,MPRO Full ES,PRO 502,Risk and Quality Management,Master of Science in Project Management,12,7,11,0,0,
620,OK,ya importaba,MPRO Full ES,PRO 501,Project Leadership,Master of Science in Project Management,12,6,11,0,0,
621,OK,ya importaba,MPRO Full ES,PRO 500,Strategic Project Management,Master of Science in Project Management,12,7,10,1,0,
622,OK,ya importaba,MPRO Full ES,PRO 605,Change and Transition Management,Master of Science in Project Management,14,9,6,7,5,
623,OK,ya importaba,MPRO Full ES,PRO 601,Stakeholder Management and Communication,Master of Science in Project Management,14,11,13,0,0,
624,OK,NUEVA,MAIS Full ES,AIS 700,Capstone Project in Artificial Intelligence,Master of Science in Artificial Intelligence,58,8,55,0,0,
625,OK,ya importaba,MAIS Full ES,AIS 605,Development of Artificial Intelligence Applications,Master of Science in Artificial Intelligence,58,50,55,0,0,
626,OK,ya importaba,MAIS Full ES,AIS 604,Business Applications of Artificial Intelligence,Master of Science in Artificial Intelligence,58,45,55,0,0,
627,OK,ya importaba,MAIS Full ES,AIS 603,Ethics in Artificial Intelligence,Master of Science in Artificial Intelligence,58,36,53,2,0,
628,OK,ya importaba,MAIS Full ES,AIS 602,Reinforced Learning,Master of Science in Artificial Intelligence,58,38,55,0,0,
629,OK,ya importaba,MAIS Full ES,AIS 601,Advanced Signal Processing,Master of Science in Artificial Intelligence,58,29,55,0,0,
630,OK,ya importaba,MAIS Full ES,AIS 600,Intelligent Robotics,Master of Science in Artificial Intelligence,58,21,55,0,0,
631,OK,ya importaba,MAIS Full ES,AIS 504,Neural Networks and Deep Learning,Master of Science in Artificial Intelligence,58,23,55,0,0,
632,OK,ya importaba,MAIS Full ES,AIS 503,Computer Vision,Master of Science in Artificial Intelligence,58,12,55,0,0,
633,OK,ya importaba,MAIS Full ES,AIS 502,Natural Language Processing (NLP),Master of Science in Artificial Intelligence,58,28,38,17,0,
634,OK,ya importaba,MAIS Full ES,AIS 501,Machine Learning,Master of Science in Artificial Intelligence,58,41,20,35,30,
635,OK,ya importaba,MAIS Full ES,AIS 500,Human-AI Interaction,Master of Science in Artificial Intelligence,58,51,55,0,0,
636,OK,ya importaba,DBA,OTH 7600,Organizational Theory,Doctorate in Business Administration,56,49,56,0,0,
637,OK,ya importaba,DBA,MVP 7610,Measuring the Added Value Proposition,Doctorate in Business Administration,56,40,37,19,0,
643,OK,ya importaba,DBA,HRL 7615,Human Resource Leadership,Doctorate in Business Administration,56,28,56,0,0,
644,OK,ya importaba,DBA,ACM 7620,Market Analysis and Main Concepts in Marketing,Doctorate in Business Administration,56,30,56,0,0,
645,OK,ya importaba,DBA,MIT 7625,Management of Innovative Technologies I,Doctorate in Business Administration,56,40,56,0,0,
646,OK,ya importaba,DBA,CAT 7630,Competitive Advantage Theory and Application,Doctorate in Business Administration,56,45,56,0,0,
647,OK,ya importaba,DBA,QUA 7635,Quantitative and Qualitative Analysis,Doctorate in Business Administration,19,11,19,0,0,
648,OK,ya importaba,DBA,QRE 8640,Quantitative Research,Doctorate in Business Administration,19,16,3,16,0,
654,OK,ya importaba,DCEA SPT,101,Nutrition for Health and Nutritional Assessment,Expert in Sports Training,7,1,7,0,0,
655,OK,ya importaba,DCEA SPT,102,"Nutrients, Hydration and Ergogenic Aids in Exercise",Expert in Sports Training,7,1,7,0,0,
656,OK,ya importaba,DCEA SPT,104,Strategic Vision in the Sports Sector,Expert in Sports Training,1,1,1,0,0,
657,OK,ya importaba,DCEA SPT,105,Organization and Management of Sports Events,Expert in Sports Training,1,1,1,0,0,
658,OK,NUEVA,DBA,QRE 8645,Qualitative Research,Doctorate in Business Administration,0,0,0,0,0,
659,OK,NUEVA,DBA,MMR 8650,Mixed Methods Research,Doctorate in Business Administration,19,0,19,0,0,
660,OK,NUEVA,DBA,SDA 8655,Statistics for Data Analysis,Doctorate in Business Administration,19,0,19,0,0,
661,OK,NUEVA,DCEA DFA,101,Digital Ecosystems and Electronic Evidence Analysis,Digital Forensic Audit and Incident Response,8,0,8,0,0,
